Participant,participant,Time,Neutral_Low_CS,Happy_Low_CS,Neutral_Low_ZM,Happy_Low_ZM,Neutral_High_CS,Happy_High_CS,Neutral_High_ZM,Happy_High_ZM
P10,P10,0.30762,0.7710230287,0.7155230339,0.7266975653,0.7411856163,0.8000649748,0.9533995462,0.649247289,0.7769823367
P10,P10,0.30811,0.7461955821,0.7688602082,0.7125881046,0.7034362468,0.7900904563,0.9359105008,0.700717692,0.7336791527
P10,P10,0.30859,0.7916955871,0.7948140568,0.7439789593,0.7187359478,0.7923674299,0.8911425647,0.7142838338,0.6990758002
P10,P10,0.30908,0.8510114579,0.764763103,0.7542679139,0.7115897778,0.7530844892,0.9030872472,0.6327838772,0.6846318077
P10,P10,0.30957,0.8875465105,0.7407374619,0.7571045052,0.7513622568,0.7135519754,0.9301790137,0.7283426581,0.7456369884
P10,P10,0.31006,0.8923934557,0.7519279252,0.7810841712,0.8131267475,0.6988375664,0.9330505119,0.8311821519,0.7682846977
P10,P10,0.31055,0.8782394453,0.7616673883,0.7854373617,0.776427707,0.7659831307,0.872060332,0.7913944541,0.8475758701
P10,P10,0.31104,0.8550316352,0.7170869593,0.6333340962,0.8211101282,0.7999875436,0.8475171097,0.8581250818,0.9322242841
P10,P10,0.31152,0.8340842587,0.6663484917,0.6287995947,0.8735667066,0.8516856363,0.879592608,0.8694751899,0.8830896757
P10,P10,0.31201,0.8689471415,0.6886379139,0.7265044914,0.9074882448,0.9525260676,0.9359068424,0.8660883112,0.771605916
P10,P10,0.3125,0.8354250782,0.7470557971,0.7835845603,0.918061414,1.016181455,0.9794651585,0.9465162853,0.9051198956
P10,P10,0.31299,0.7415869679,0.7351989252,0.7263910928,0.8065302987,1.071106564,0.9019961612,0.9818339694,0.9194917582
P10,P10,0.31348,0.7038290368,0.7124385918,0.6450987595,0.8414992508,1.117200585,0.7783511202,0.8782225397,0.8937202025
P10,P10,0.31396,0.7017735558,0.7252625864,0.6119990882,0.8246906225,1.120522791,0.7656975934,0.8709352232,0.8916458543
P10,P10,0.31445,0.7173886198,0.7983915818,0.6918936075,0.7492206664,1.08732811,0.8089187159,0.9409635127,0.8479429529
P10,P10,0.31494,0.7579388392,0.8620675397,0.7409345798,0.6786729875,1.027323723,0.7694777486,0.9437011556,0.701997271
P10,P10,0.31543,0.7717234511,0.9023982347,0.6781035929,0.722270524,0.9995408738,0.707559134,0.9473679791,0.6313264361
P10,P10,0.31592,0.7829272168,0.8969991618,0.6226840109,0.7967600815,0.9916860972,0.7456153237,0.8480902596,0.6373412275
P10,P10,0.31641,0.7715889026,0.8684080177,0.6476387079,0.8015767091,0.9650684051,0.8183984224,0.8463647023,0.7363559874
