"Participant","participant","Time","Neutral_Low_CS","Happy_Low_CS","Neutral_Low_ZM","Happy_Low_ZM","Neutral_High_CS","Happy_High_CS","Neutral_High_ZM","Happy_High_ZM"
"P1","P1",0.2998,0.785562622535193,0.847575853076643,0.834864428180893,0.921165193968149,0.733405685259106,0.774102729327014,0.621324129243323,0.908192211993826
"P1","P1",0.30029,0.777087352659193,0.863088728647388,0.816701603429872,0.784251013296277,0.637565279760887,0.725342616878291,0.800239629348789,0.762457414943404
"P1","P1",0.30078,0.790991220601599,0.813782929810217,0.780283212103343,0.801727874041688,0.651727096646956,0.701754294461223,0.759232073378054,0.723172271494748
"P1","P1",0.30127,0.85167145713936,0.755135272507341,0.729465769536687,0.77166273155925,0.737686650708747,0.752525222666115,0.658193854152396,0.830075919253045
"P1","P1",0.30176,0.897018958211839,0.696550885014248,0.77686798341894,0.758853910755124,0.795766958087179,0.796093162591387,0.681450920899446,0.766080596288541
"P1","P1",0.30225,0.866028631455556,0.650353090261808,0.787700455432621,0.717031650201001,0.853842015343005,0.774346035888157,0.868264503973485,0.761621350981922
"P1","P1",0.30273,0.775408851803742,0.553333935900903,0.84849083950295,0.734569554395038,0.914389285964289,0.728748373671605,0.799846156038646,0.807055641646201
"P1","P1",0.30322,0.760986745798123,0.523468911322816,0.82743861759207,0.696003943669085,0.950347295415152,0.722690537183838,0.817273618723037,0.785963057690808
"P1","P1",0.30371,0.786107064844922,0.558520916265351,0.758201789965002,0.749223355938196,0.981496787725944,0.724256360681159,0.924171344571763,0.76261592054003
"P1","P1",0.3042,0.78273356695148,0.596581592561474,0.68133132747988,0.776900619621971,0.97126539980173,0.720873183066409,0.837812378455888,0.755666153814055
"P1","P1",0.30469,0.738938891829317,0.63632890212578,0.692960957107774,0.866038064952964,0.970926408454244,0.732020428649113,0.813529704615461,0.770667755457352
"P1","P1",0.30518,0.727660552042554,0.628634185223514,0.701433454130051,0.972302184519524,0.972181212357846,0.736255949895404,0.807574923444569,0.840208773149299
"P1","P1",0.30566,0.715807503102925,0.636508500121127,0.804288306300325,0.900366919407791,0.967203168425383,0.759175309728374,0.65297909074053,0.730161922402875
"P1","P1",0.30615,0.679323045439953,0.640200926432688,0.80595813499147,0.801874697951912,0.989015642575338,0.801968655339467,0.624107174164584,0.695931776246566
"P1","P1",0.30664,0.671811754894877,0.686077446296371,0.732535747242765,0.85081126217002,0.941944275593156,0.829647143280791,0.599840914981547,0.736662564555338
"P1","P1",0.30713,0.777665413534991,0.739489501857141,0.685463954158283,0.81978384381072,0.864844696195919,0.838183044733385,0.664211671565748,0.744513920883719
"P1","P1",0.30762,0.8672924980324,0.782631764260475,0.650791640073092,0.699216608972803,0.830232902405479,0.828889086068278,0.67305117479176,0.767687490091169
"P1","P1",0.30811,0.92411557981895,0.815174898050516,0.774879406369552,0.709324919538348,0.815182701925052,0.83542207531977,0.768995395445014,0.82946729804079
"P1","P1",0.30859,0.975660852137053,0.804471454170127,0.785198907445162,0.752727792489692,0.881727708836021,0.849968934203396,0.733740744352458,0.946094138657832
"P1","P1",0.30908,0.942790020926328,0.762919812500429,0.738900394795746,0.773493993414613,0.966220818707201,0.814877837367304,0.70237757453145,0.831351911045511
"P1","P1",0.30957,0.880834610527352,0.72684595943692,0.788644674030488,0.704979824561939,1.00457624089473,0.744370478133073,0.623325503720495,0.788739534299042
"P1","P1",0.31006,0.846187167125284,0.720536690301747,0.831882478565213,0.723930213994775,0.984368375682996,0.732644310888483,0.662145579278143,0.711466538891762
"P1","P1",0.31055,0.810204442062277,0.738735124049674,0.73637733387946,0.744252236569886,0.902458531649474,0.739976728608282,0.780110846970879,0.722738157029306
"P1","P1",0.31104,0.763609978237608,0.710516990532885,0.678352278148483,0.648167761901784,0.829438166767087,0.804738975814966,0.765502953219308,0.856149629194729
"P1","P1",0.31152,0.720956683493914,0.707582287408607,0.71284582907797,0.684921778294294,0.768851344582078,0.876341565349718,0.7383439943154,0.91536396418504
"P1","P1",0.31201,0.698791598265734,0.739481450594425,0.785970673133988,0.751212847077516,0.75193186638904,0.859581915651662,0.600429690644559,0.829297045127123
"P1","P1",0.3125,0.737902545112998,0.746808619271291,0.831354505808942,0.734404014016875,0.776359690276182,0.768636461452616,0.712024044894321,0.772402863729821
"P1","P1",0.31299,0.807962511022029,0.712538908388865,0.781986707398176,0.700683519520662,0.792288166642691,0.705176093924919,0.879575909766398,0.804338313146607
"P1","P1",0.31348,0.837631701989874,0.699784189774701,0.838773914847836,0.818304732468137,0.85106806691829,0.723381224688313,0.983033868281498,0.776228867101959
